available,neontheme,category,highertaxon,lowertaxon,sampletype,collid,institutioncode,collectioncode,fullname,neonsampleclass,description,dwcaurl,gbif,neondataproduct
TRUE,"Biogeochemistry, Land Cover & Processes",Plants,"Terrestrial Plants",,"Environmental Sample",18,NEON,TPLC-CF,"Terrestrial Plant Collection (Canopy Foliage)",cfc_chemistrySubsampling_in.archiveSampleID,"Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",https://biorepo.neonscience.org/portal/content/dwca/NEON-TPLC-CF_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.10026.001
TRUE,"Organisms, Populations, and Communities",Plants,"Terrestrial Plants",,"Dry Sample",54,NEON,TPLC-HV,"Terrestrial Plant Collection (Herbarium Vouchers)",div_voucher_in.voucherSampleID.pla,"Terrestrial plant herbarium voucher collected during NEON plant diversity survey protocols conducted 1-2 annually.",https://biorepo.neonscience.org/portal/content/dwca/NEON-TPLC-HV_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10058.001
TRUE,"Organisms, Populations, and Communities",Plants,"Terrestrial Plants",,"Tissue or Fecal Sample",40,NEON,TPLC-LT,"Terrestrial Plant Collection (Leaf Tissue)",div_geneticarchive_in.geneticSampleID,"Leaf tissue sample collected from an individual of a focal NEON phenological survey species. Archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10058.001
TRUE,"Organisms, Populations, and Communities",Plants,"Terrestrial Plants",,"Environmental Sample",23,NEON,TPLC-LF,"Terrestrial Plant Collection (Litterfall)",ltr_chemistrySubsampling_in.archiveSampleID,"Sample of litterfall (shed leaves and needles, reproductive parts, and fine woody debris with butt-end diameter < 2 cm) collected from elevated traps as part of the standard NEON litterfall survey protocols conducted every five years at forested sites. Archived dried and ground at room temperature.",https://biorepo.neonscience.org/portal/content/dwca/NEON-TPLC-LF_DwC-A.zip,"not published",https://data.neonscience.org/data-products/DP1.10033.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Fishes,"DNA Sample",66,NEON,FISC-DNA,"Fish Collection (DNA Extracts)",fsh_perFish_in.dnaSampleID,"Genomic extract from a fin clip of a fish collected from NEON electrofishing, gill-nets or mini-fyke nets protocols implemented twice annually in wadeable streams and lakes. Archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.20105.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Fishes,"Fluid-Preserved Sample",20,NEON,FISC-V,"Fish Collection (Vouchers)","fsh_perFish_in.voucherSampleID,fsh_nonTarget_in.voucherSampleID","Fish voucher collected as an incidental mortality from NEON electrofishing, gill-nets or mini-fyke nets protocols implemented twice annually in wadeable streams and lakes. Fixed in 10% buffered formalin preservative and then transferred to 70% ethanol or isopropanol for long-term storage.",https://biorepo.neonscience.org/portal/content/dwca/NEON-FISC-V_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.20107.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Herptiles,"Fluid-Preserved Sample",12,NEON,HEVC-GBAP,"Herptile Voucher Collection (Ground Beetle Sampling Bycatch Archive Pooling)",bet_archivepooling_in.subsampleID.herp,"Herptile voucher collected as bycatch in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Archived in 95% ethanol and pooled across traps from the same plot and sampling dates.",https://biorepo.neonscience.org/portal/content/dwca/NEON-HEVC-GBAP_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Herptiles,"Fluid-Preserved Sample",15,NEON,HEVC-GBTS,"Herptile Voucher Collection (Ground Beetle Sampling Bycatch Trap Sorting)",bet_sorting_in.subsampleID.herp,"Herptile voucher collected as bycatch in a pitfall trap trap deployed for approximatately 2 weeks as per the NEON carabid sampling protocol. Archived in 95% ethanol and not pooled across traps.",https://biorepo.neonscience.org/portal/content/dwca/NEON-HEVC-GBTS_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10022.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Herptiles,"Fluid-Preserved Sample",70,NEON,HEVC-SMMB,"Herptile Voucher Collection (Small Mammal Sampling Bycatch)",mam_voucher_in.voucherSampleID.herp,"Herptile voucher collected as an incidental bycatch mortality during NEON small mammal box trapping and archived in 95% ethanol.",https://biorepo.neonscience.org/portal/content/dwca/NEON-HEVC-SMMB_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10072.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Mammals,"Tissue or Fecal Sample",24,NEON,MAMC-BL,"Mammal Collection (Blood Samples)",mam_pertrapnight_in.bloodSampleID,"Blood sample from a small mammal collected as part of the NEON small mammal box trapping protocol conducted for 3 nights 4-6 times annually. Archived in liquid nitrogen.",https://biorepo.neonscience.org/portal/content/dwca/NEON-MAMC-BL_DwC-A.zip,published,https://data.neonscience.org/data-products/DP1.10072.001
TRUE,"Organisms, Populations, and Communities",Vertebrates,Vertebrates,Mammals,"DNA Sample",71,NEON,MAMC-DNA,"Mammal Collection (DNA Extracts)",TBD-off,"Aqueous whole genomic DNA from small mammal ear tissue and blood samples collected as part of the NEON small mammal box trapping protocol conducted for 3 nights 4-6 times annually. Used for pathogen testing and/or barcoding and archived at -80 degrees C.",NULL,"not published",https://data.neonscience.org/data-products/DP1.10076.001
